date,product_id,comp_a_price,comp_b_price,comp_c_price,avg_competitor_price
2024-01-01,1001,224.26,201.27,196.34,207.29
2024-01-02,1001,223.7,208.94,232.49,221.71
2024-01-03,1001,228.25,223.81,241.48,231.18
2024-01-04,1001,196.85,213.95,203.18,204.66
2024-01-05,1001,211.25,232.29,227.18,223.57
2024-01-06,1001,220.09,218.32,198.6,212.34
2024-01-07,1001,193.52,223.67,197.41,204.87
2024-01-08,1001,236.34,214.04,186.81,212.4
2024-01-09,1001,238.83,234.79,241.73,238.45
2024-01-10,1001,233.28,212.18,196.91,214.12
2024-01-11,1001,225.82,221.03,192.17,213.01
2024-01-12,1001,199.09,219.22,243.33,220.55
2024-01-13,1001,226.13,213.67,205.04,214.95
2024-01-14,1001,234.05,233.03,219.32,228.8
2024-01-15,1001,223.61,225.64,237.98,229.08
2024-01-16,1001,210.41,204.38,223.71,212.83
2024-01-17,1001,218.44,211.11,224.54,218.03
2024-01-18,1001,231.91,213.69,194.12,213.24
2024-01-19,1001,202.73,222.88,191.39,205.67
2024-01-20,1001,218.35,223.39,233.41,225.05
2024-01-21,1001,207.88,228.9,203.55,213.44
2024-01-22,1001,193.57,234.76,240.61,222.98
2024-01-23,1001,200.68,206.56,202.2,203.15
2024-01-24,1001,224.1,210.88,248.41,227.8
2024-01-25,1001,221.77,215.77,202.04,213.19
2024-01-26,1001,193.04,205.15,188.81,195.67
2024-01-27,1001,226.19,217.68,192.21,212.03
2024-01-28,1001,200.68,216.27,211.92,209.62
2024-01-29,1001,194.53,214.19,226.83,211.85
2024-01-30,1001,224.03,206.79,190.42,207.08
2024-01-31,1001,220.52,233.98,223.53,226.01
2024-02-01,1001,214.39,220.18,247.53,227.37
2024-02-02,1001,235.89,207.94,190.34,211.39
2024-02-03,1001,196.89,224.98,190.46,204.11
2024-02-04,1001,193.47,229.58,204.28,209.11
2024-02-05,1001,222.59,231.78,233.99,229.45
2024-02-06,1001,200.88,227.34,238.7,222.31
2024-02-07,1001,210.24,228.25,208.14,215.54
2024-02-08,1001,212.98,227.35,235.27,225.2
2024-02-09,1001,216.65,230.0,206.78,217.81
2024-02-10,1001,192.87,232.76,191.78,205.8
2024-02-11,1001,238.06,221.15,227.23,228.81
2024-02-12,1001,208.16,224.61,235.13,222.63
2024-02-13,1001,196.74,218.38,189.57,201.56
2024-02-14,1001,235.04,213.37,193.47,213.96
2024-02-15,1001,222.08,204.63,191.31,206.01
2024-02-16,1001,231.87,225.79,191.13,216.26
2024-02-17,1001,210.35,214.06,239.09,221.17
2024-02-18,1001,228.58,214.25,191.27,211.37
2024-02-19,1001,212.75,232.79,193.08,212.87
2024-02-20,1001,214.89,203.06,193.58,203.84
2024-02-21,1001,228.23,221.5,248.89,232.87
2024-02-22,1001,234.12,208.91,248.96,230.66
2024-02-23,1001,194.43,232.26,220.4,215.7
2024-02-24,1001,218.98,234.99,220.09,224.69
2024-02-25,1001,214.21,223.04,224.11,220.45
2024-02-26,1001,205.86,234.33,244.17,228.12
2024-02-27,1001,205.69,207.67,216.2,209.85
2024-02-28,1001,196.09,235.17,250.46,227.24
2024-02-29,1001,207.23,229.55,230.69,222.49
2024-03-01,1001,231.9,234.31,233.38,233.2
2024-03-02,1001,237.2,231.38,188.76,219.11
2024-03-03,1001,231.33,235.62,195.66,220.87
2024-03-04,1001,238.99,230.54,240.77,236.77
2024-03-05,1001,205.5,203.07,242.5,217.02
2024-03-06,1001,240.28,220.52,236.22,232.34
2024-03-07,1001,204.24,216.85,194.26,205.12
2024-03-08,1001,203.35,224.58,226.33,218.09
2024-03-09,1001,224.64,219.29,236.44,226.79
2024-03-10,1001,218.89,220.71,243.28,227.63
2024-03-11,1001,193.73,227.5,226.47,215.9
2024-03-12,1001,198.91,201.6,208.78,203.1
2024-03-13,1001,213.39,232.71,208.63,218.24
2024-03-14,1001,211.42,222.85,242.34,225.54
2024-03-15,1001,236.91,218.3,202.73,219.31
2024-03-16,1001,216.04,212.59,227.33,218.65
2024-03-17,1001,198.55,205.57,195.75,199.96
2024-03-18,1001,201.1,213.18,244.6,219.63
2024-03-19,1001,200.64,207.82,188.47,198.98
2024-03-20,1001,200.86,204.2,193.7,199.59
2024-03-21,1001,209.87,218.7,231.06,219.88
2024-03-22,1001,222.54,203.95,243.08,223.19
2024-03-23,1001,205.66,229.29,234.86,223.27
2024-03-24,1001,210.17,218.04,226.33,218.18
2024-03-25,1001,228.29,202.38,202.35,211.01
2024-03-26,1001,216.96,219.7,192.82,209.83
2024-03-27,1001,204.01,210.51,210.53,208.35
2024-03-28,1001,202.52,212.55,193.65,202.91
2024-03-29,1001,225.01,228.69,218.48,224.06
2024-03-30,1001,220.57,227.16,214.1,220.61
2024-03-31,1001,209.81,223.68,223.22,218.9
2024-04-01,1001,221.48,209.39,192.47,207.78
2024-04-02,1001,200.08,207.62,204.49,204.06
2024-04-03,1001,196.21,219.44,212.7,209.45
2024-04-04,1001,211.48,235.0,242.55,229.68
2024-04-05,1001,200.57,224.48,246.74,223.93
2024-04-06,1001,205.81,228.0,198.06,210.62
2024-04-07,1001,216.76,209.57,193.32,206.55
2024-04-08,1001,220.3,206.49,217.34,214.71
2024-04-09,1001,208.54,205.79,189.95,201.43
2024-04-10,1001,231.3,210.0,230.48,223.93
2024-04-11,1001,215.03,215.5,208.67,213.07
2024-04-12,1001,238.76,205.44,233.72,225.97
2024-04-13,1001,195.55,227.01,223.46,215.34
2024-04-14,1001,230.59,208.15,196.52,211.75
2024-04-15,1001,224.34,219.39,209.32,217.68
2024-04-16,1001,231.62,216.45,210.51,219.53
2024-04-17,1001,228.3,218.68,201.02,216.0
2024-04-18,1001,218.49,232.8,226.73,226.01
2024-04-19,1001,222.54,212.81,194.93,210.09
2024-04-20,1001,218.0,232.36,237.5,229.29
2024-04-21,1001,204.3,227.11,187.99,206.47
2024-04-22,1001,234.51,213.06,239.65,229.07
2024-04-23,1001,198.48,214.99,238.07,217.18
2024-04-24,1001,227.08,226.28,227.84,227.07
2024-04-25,1001,204.46,213.18,197.7,205.11
2024-04-26,1001,211.63,217.25,247.91,225.6
2024-04-27,1001,216.68,222.48,186.98,208.71
2024-04-28,1001,219.53,225.46,246.28,230.42
2024-04-29,1001,220.06,222.31,213.6,218.66
2024-04-30,1001,236.86,216.86,193.22,215.65
2024-05-01,1001,198.35,233.3,242.84,224.83
2024-05-02,1001,211.54,203.01,207.77,207.44
2024-05-03,1001,208.39,215.02,221.03,214.81
2024-05-04,1001,209.03,226.89,215.45,217.12
2024-05-05,1001,199.12,207.26,218.47,208.28
2024-05-06,1001,209.78,221.4,227.25,219.48
2024-05-07,1001,200.91,234.7,195.54,210.38
2024-05-08,1001,240.29,218.66,224.83,227.93
2024-05-09,1001,202.44,232.5,199.24,211.39
2024-05-10,1001,215.05,220.85,190.1,208.67
2024-05-11,1001,217.57,216.51,212.07,215.38
2024-05-12,1001,201.1,231.23,247.83,226.72
2024-05-13,1001,223.32,215.39,187.46,208.72
2024-05-14,1001,224.04,202.04,200.35,208.81
2024-05-15,1001,193.3,204.73,238.25,212.09
2024-05-16,1001,203.8,204.57,201.74,203.37
2024-05-17,1001,232.27,214.98,229.6,225.62
2024-05-18,1001,235.45,201.55,191.4,209.47
2024-05-19,1001,201.08,221.48,213.43,212.0
2024-05-20,1001,208.79,210.17,210.69,209.88
2024-05-21,1001,222.36,215.41,221.99,219.92
2024-05-22,1001,237.96,227.8,194.98,220.25
2024-05-23,1001,235.37,229.07,213.68,226.04
2024-05-24,1001,218.4,223.25,202.7,214.78
2024-05-25,1001,239.69,219.48,197.05,218.74
2024-05-26,1001,236.32,205.21,223.6,221.71
2024-05-27,1001,223.68,230.11,199.33,217.71
2024-05-28,1001,235.63,231.66,224.97,230.75
2024-05-29,1001,200.78,233.07,213.25,215.7
2024-05-30,1001,194.61,206.91,234.19,211.9
2024-05-31,1001,204.15,214.71,204.72,207.86
2024-06-01,1001,206.64,220.9,217.01,214.85
2024-06-02,1001,227.58,208.61,187.84,208.01
2024-06-03,1001,194.82,218.45,224.93,212.73
2024-06-04,1001,197.48,203.72,233.54,211.58
2024-06-05,1001,213.26,209.71,239.5,220.82
2024-06-06,1001,205.44,221.74,209.46,212.21
2024-06-07,1001,198.93,234.33,215.04,216.1
