date,product_id,price,demand,revenue,margin,cost,day_of_week,month,seasonality_index
2024-01-01,1001,198.34,12,2380.08,435.72,162.03,0,1,0.7835
2024-01-02,1001,233.18,8,1865.44,569.2,162.03,1,1,0.7835
2024-01-03,1001,211.55,11,2327.05,544.72,162.03,2,1,0.7835
2024-01-04,1001,225.89,8,1807.12,510.88,162.03,3,1,0.7835
2024-01-05,1001,249.77,8,1998.16,701.92,162.03,4,1,0.7835
2024-01-06,1001,222.01,12,2664.12,719.76,162.03,5,1,0.7835
2024-01-07,1001,208.92,15,3133.8,703.35,162.03,6,1,0.7835
2024-01-08,1001,248.65,9,2237.85,779.58,162.03,0,1,0.7835
2024-01-09,1001,217.62,9,1958.58,500.31,162.03,1,1,0.7835
2024-01-10,1001,215.08,10,2150.8,530.5,162.03,2,1,0.7835
2024-01-11,1001,247.6,8,1980.8,684.56,162.03,3,1,0.7835
2024-01-12,1001,250.78,8,2006.24,710.0,162.03,4,1,0.7835
2024-01-13,1001,233.49,11,2568.39,786.06,162.03,5,1,0.7835
2024-01-14,1001,240.16,9,2161.44,703.17,162.03,6,1,0.7835
2024-01-15,1001,239.46,9,2155.14,696.87,162.03,0,1,0.7835
2024-01-16,1001,212.3,8,1698.4,402.16,162.03,1,1,0.7835
2024-01-17,1001,219.83,8,1758.64,462.4,162.03,2,1,0.7835
2024-01-18,1001,194.55,12,2334.6,390.24,162.03,3,1,0.7835
2024-01-19,1001,237.79,7,1664.53,530.32,162.03,4,1,0.7835
2024-01-20,1001,223.71,13,2908.23,801.84,162.03,5,1,0.7835
2024-01-21,1001,222.82,11,2451.02,668.69,162.03,6,1,0.7835
2024-01-22,1001,196.98,13,2560.74,454.35,162.03,0,1,0.7835
2024-01-23,1001,216.49,10,2164.9,544.6,162.03,1,1,0.7835
2024-01-24,1001,234.52,9,2110.68,652.41,162.03,2,1,0.7835
2024-01-25,1001,225.07,9,2025.63,567.36,162.03,3,1,0.7835
2024-01-26,1001,237.08,7,1659.56,525.35,162.03,4,1,0.7835
2024-01-27,1001,242.84,9,2185.56,727.29,162.03,5,1,0.7835
2024-01-28,1001,220.29,12,2643.48,699.12,162.03,6,1,0.7835
2024-01-29,1001,229.83,9,2068.47,610.2,162.03,0,1,0.7835
2024-01-30,1001,242.9,8,1943.2,646.96,162.03,1,1,0.7835
2024-01-31,1001,193.92,12,2327.04,382.68,162.03,2,1,0.7835
2024-02-01,1001,230.32,9,2072.88,614.61,162.03,3,2,0.875
2024-02-02,1001,249.08,7,1743.56,609.35,162.03,4,2,0.875
2024-02-03,1001,193.43,15,2901.45,471.0,162.03,5,2,0.875
2024-02-04,1001,242.21,9,2179.89,721.62,162.03,6,2,0.875
2024-02-05,1001,233.47,11,2568.17,785.84,162.03,0,2,0.875
2024-02-06,1001,209.0,14,2926.0,657.58,162.03,1,2,0.875
2024-02-07,1001,216.7,13,2817.1,710.71,162.03,2,2,0.875
2024-02-08,1001,243.01,7,1701.07,566.86,162.03,3,2,0.875
2024-02-09,1001,245.62,10,2456.2,835.9,162.03,4,2,0.875
2024-02-10,1001,215.32,12,2583.84,639.48,162.03,5,2,0.875
2024-02-11,1001,248.42,9,2235.78,777.51,162.03,6,2,0.875
2024-02-12,1001,209.65,13,2725.45,619.06,162.03,0,2,0.875
2024-02-13,1001,238.95,9,2150.55,692.28,162.03,1,2,0.875
2024-02-14,1001,218.41,9,1965.69,507.42,162.03,2,2,0.875
2024-02-15,1001,237.29,10,2372.9,752.6,162.03,3,2,0.875
2024-02-16,1001,196.64,11,2163.04,380.71,162.03,4,2,0.875
2024-02-17,1001,250.58,11,2756.38,974.05,162.03,5,2,0.875
2024-02-18,1001,250.54,11,2755.94,973.61,162.03,6,2,0.875
2024-02-19,1001,225.31,10,2253.1,632.8,162.03,0,2,0.875
2024-02-20,1001,193.02,12,2316.24,371.88,162.03,1,2,0.875
2024-02-21,1001,230.66,9,2075.94,617.67,162.03,2,2,0.875
2024-02-22,1001,209.21,9,1882.89,424.62,162.03,3,2,0.875
2024-02-23,1001,249.59,10,2495.9,875.6,162.03,4,2,0.875
2024-02-24,1001,196.71,16,3147.36,554.88,162.03,5,2,0.875
2024-02-25,1001,233.41,13,3034.33,927.94,162.03,6,2,0.875
2024-02-26,1001,195.03,13,2535.39,429.0,162.03,0,2,0.875
2024-02-27,1001,228.95,9,2060.55,602.28,162.03,1,2,0.875
2024-02-28,1001,226.8,11,2494.8,712.47,162.03,2,2,0.875
2024-02-29,1001,223.99,9,2015.91,557.64,162.03,3,2,0.875
2024-03-01,1001,246.11,10,2461.1,840.8,162.03,4,3,1.0
2024-03-02,1001,217.03,12,2604.36,660.0,162.03,5,3,1.0
2024-03-03,1001,214.57,16,3433.12,840.64,162.03,6,3,1.0
2024-03-04,1001,214.83,13,2792.79,686.4,162.03,0,3,1.0
2024-03-05,1001,216.83,14,3035.62,767.2,162.03,1,3,1.0
2024-03-06,1001,251.35,11,2764.85,982.52,162.03,2,3,1.0
2024-03-07,1001,242.49,12,2909.88,965.52,162.03,3,3,1.0
2024-03-08,1001,228.12,11,2509.32,726.99,162.03,4,3,1.0
2024-03-09,1001,199.05,18,3582.9,666.36,162.03,5,3,1.0
2024-03-10,1001,242.64,11,2669.04,886.71,162.03,6,3,1.0
2024-03-11,1001,200.26,16,3204.16,611.68,162.03,0,3,1.0
2024-03-12,1001,204.92,15,3073.8,643.35,162.03,1,3,1.0
2024-03-13,1001,215.5,13,2801.5,695.11,162.03,2,3,1.0
2024-03-14,1001,238.6,12,2863.2,918.84,162.03,3,3,1.0
